date,financing_balance,financing_purchase,financing_redeem,securities_lending_balance,securities_lending_sell,securities_lending_shares,margin_balance,market,margin_balance_change
2011-01-25,9220062356.0,346162375.0,303937437.0,9333398.0,361280.0,0.0,9229395754.0,沪市,0.46075878969711326
2011-01-26,9349795135.0,389519420.0,259786641.0,9365923.0,544400.0,0.0,9359161058.0,沪市,1.4059999967360737
2011-01-27,9429095585.0,695694010.0,616393560.0,12945773.0,1377700.0,0.0,9442041358.0,沪市,0.8855526631754707
2011-01-28,9469502833.0,447644390.0,407237142.0,12840273.0,515000.0,0.0,9482343106.0,沪市,0.42683299587384926
2011-01-31,9583910868.0,632364871.0,517956836.0,15715553.0,989600.0,0.0,9599626421.0,沪市,1.23686006389907
2011-02-01,9402454012.0,392394929.0,573851785.0,12960401.0,673100.0,0.0,9415414413.0,沪市,-1.9189497582637216
2011-02-09,9589509907.0,529461387.0,342405492.0,12714493.0,858828.0,0.0,9602224400.0,沪市,1.9840867199862
2011-02-10,9740914093.0,491495815.0,340091629.0,13778369.0,430809.0,0.0,9754692462.0,沪市,1.5878410631603224
2011-02-11,9771176484.0,512505121.0,482242730.0,10218163.0,183570.0,0.0,9781394647.0,沪市,0.2737368205509405
2011-02-14,9715701377.0,915382728.0,970857835.0,17152769.0,895000.0,0.0,9732854146.0,沪市,-0.49625337440901696
2011-02-15,9596234682.0,860216663.0,979683358.0,14779112.0,730800.0,0.0,9611013794.0,沪市,-1.2518460687102162
2011-02-16,9792654830.0,847457177.0,651037029.0,13686326.0,377000.0,0.0,9806341156.0,沪市,2.032328391016769
2011-02-17,10032421759.0,955054160.0,715287231.0,12102813.0,586242.0,0.0,10044524572.0,沪市,2.428871402809274
2011-02-18,10157728964.0,647287468.0,521980263.0,11894180.0,517100.0,0.0,10169623144.0,沪市,1.2454404497025617
2011-02-21,10315577822.0,767670898.0,609822040.0,11621281.0,647958.0,0.0,10327199103.0,沪市,1.5494768760725197
2011-02-22,10525272993.0,1001895274.0,792200103.0,15915330.0,1988907.0,0.0,10541188323.0,沪市,2.0720934869730367
2011-02-23,10619583455.0,647426365.0,553115903.0,14897624.0,1245891.0,0.0,10634481079.0,沪市,0.8850307303251759
2011-02-24,10796619793.0,794570977.0,617534639.0,17262748.0,1806055.0,0.0,10813882541.0,沪市,1.6869789947181024
2011-02-25,10858082464.0,692267202.0,630804531.0,16338957.0,1283484.0,0.0,10874421421.0,沪市,0.5598255739367675
2011-02-28,10886936320.0,675667868.0,646814012.0,17100603.0,1615160.0,0.0,10904036923.0,沪市,0.2723409444369107
2011-03-01,10924143093.0,769595277.0,732388504.0,22389292.0,1456341.0,0.0,10946532385.0,沪市,0.3897222863429972
2011-03-02,11009415972.0,808798087.0,723525208.0,23705832.0,1752220.0,0.0,11033121804.0,沪市,0.7910214482044875
2011-03-03,11046130055.0,1019788440.0,983074357.0,57169330.0,4624908.0,0.0,11103299385.0,沪市,0.6360627775772176
2011-03-04,11147027377.0,747928982.0,647031660.0,45941862.0,2749980.0,0.0,11192969239.0,沪市,0.8075964710196004
2011-03-07,11378560775.0,1337038695.0,1105505297.0,77652784.0,3075421.0,0.0,11456213559.0,沪市,2.3518720938030535
2011-03-08,11521780981.0,904709041.0,761488835.0,71401857.0,1756246.0,0.0,11593182838.0,沪市,1.1955894353278484
2011-03-09,11615540852.0,801429978.0,707670107.0,75334080.0,2824714.0,0.0,11690874932.0,沪市,0.8426684489076353
